F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 S  1000  1087   939  0  80   0 - 12447 poll_s ?        00:00:00 upstart-file-br
1 S  1000  1093   939  0  80   0 - 69569 poll_s ?        00:00:01 fcitx
1 S  1000  1101   939  0  80   0 - 10724 ep_pol ?        00:00:00 dbus-daemon
1 S  1000  1105   939  0  99  19 -  6909 poll_s ?        00:00:00 fcitx-dbus-watc
0 S  1000  1110   939  0  80   0 - 84500 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1000  1116  1110  0  80   0 - 10724 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1117   939  0  80   0 - 111822 poll_s ?       00:00:00 notify-osd
0 S  1000  1120   939  0  80   0 - 51743 poll_s ?        00:00:00 at-spi2-registr
0 S  1000  1126   939  0  80   0 - 70765 poll_s ?        00:00:00 gvfsd
0 S  1000  1134   939  0  80   0 - 101716 futex_ ?       00:00:00 gvfsd-fuse
1 S  1000  1146   939  0  80   0 - 43767 -      ?        00:00:00 gpg-agent
0 S  1000  1156   939  0  80   0 - 151233 poll_s ?       00:00:00 hud-service
0 S  1000  1158   939  0  80   0 - 215828 poll_s ?       00:00:00 unity-settings-
0 S  1000  1168   939  0  80   0 - 139573 poll_s ?       00:00:00 gnome-session-b
0 S  1000  1177   939  0  80   0 - 161832 poll_s ?       00:00:01 unity-panel-ser
4 S     0  1207     1  0  80   0 - 88897 -      ?        00:00:00 upowerd
0 S  1000  1209   939  0  80   0 - 44690 poll_s ?        00:00:00 dconf-service
0 S  1000  1231   939  7  80   0 - 331217 poll_s ?       00:02:59 compiz
0 S  1000  1240   939  0  80   0 - 90765 poll_s ?        00:00:00 indicator-messa
0 S  1000  1241   939  0  80   0 - 103940 poll_s ?       00:00:00 indicator-bluet
0 S  1000  1247   939  0  80   0 - 127816 poll_s ?       00:00:00 indicator-power
0 S  1000  1252   939  0  80   0 - 195728 poll_s ?       00:00:00 indicator-datet
0 S  1000  1253   939  0  80   0 - 164609 poll_s ?       00:00:00 indicator-keybo
0 S  1000  1254   939  0  80   0 - 167989 poll_s ?       00:00:00 indicator-sound
0 S  1000  1255   939  0  80   0 - 157580 poll_s ?       00:00:00 indicator-print
0 S  1000  1258   939  0  80   0 - 158460 poll_s ?       00:00:00 indicator-sessi
0 S  1000  1268   939  0  80   0 - 100787 poll_s ?       00:00:00 indicator-appli
0 S  1000  1289   939  0  80   0 - 159310 poll_s ?       00:00:00 evolution-sourc
4 S   113  1299     1  0  80   0 - 77435 -      ?        00:00:00 colord
1 S  1000  1313   939  0  69 -11 - 110899 poll_s ?       00:00:00 pulseaudio
4 S   118  1314     1  0  81   1 - 45886 -      ?        00:00:00 rtkit-daemon
0 S  1000  1352  1168  0  80   0 - 146473 poll_s ?       00:00:00 unity-fallback-
0 S  1000  1357   939  0  80   0 - 217929 poll_s ?       00:00:00 evolution-calen
4 S   109  1364     1  0  80   0 - 111931 -     ?        00:00:00 whoopsie
0 S  1000  1373  1168  0  80   0 - 229880 poll_s ?       00:00:02 nautilus
4 S     0  1375     1  0  80   0 -  6071 -      tty1     00:00:00 agetty
0 S  1000  1378  1168  0  80   0 - 172956 poll_s ?       00:00:00 nm-applet
0 S  1000  1388  1168  0  80   0 - 109598 poll_s ?       00:00:00 polkit-gnome-au
0 S  1000  1395  1168  0  80   0 - 261779 poll_s ?       00:00:03 gnome-software
0 S  1000  1433   939  0  80   0 - 73512 poll_s ?        00:00:00 gvfs-udisks2-vo
4 S     0  1436     1  0  80   0 - 91695 -      ?        00:00:00 udisksd
0 S  1000  1449  1357  0  80   0 - 202243 poll_s ?       00:00:00 evolution-calen
0 S  1000  1453   939  0  80   0 - 70057 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1000  1459   939  0  80   0 - 67008 poll_s ?        00:00:00 gvfs-mtp-volume
4 S     0  1462     1  0  80   0 - 128380 -     ?        00:00:00 fwupd
0 S  1000  1468   939  0  80   0 - 66517 poll_s ?        00:00:00 gvfs-goa-volume
0 S  1000  1473   939  0  80   0 - 103036 poll_s ?       00:00:00 gvfs-afc-volume
0 S  1000  1487  1357  0  80   0 - 206181 poll_s ?       00:00:00 evolution-calen
0 S  1000  1502   939  0  80   0 - 174829 poll_s ?       00:00:00 evolution-addre
0 S  1000  1513  1502  0  80   0 - 195757 poll_s ?       00:00:00 evolution-addre
0 S  1000  1523   939  0  80   0 - 89811 poll_s ?        00:00:00 gvfsd-trash
0 S  1000  1653  1168  0  80   0 - 105015 poll_s ?       00:00:00 zeitgeist-datah
0 S  1000  1660   939  0  80   0 -  1126 wait   ?        00:00:00 sh
0 S  1000  1664  1660  0  80   0 - 86169 poll_s ?        00:00:00 zeitgeist-daemo
0 S  1000  1671   939  0  80   0 - 79305 poll_s ?        00:00:00 zeitgeist-fts
0 S  1000  1745  1168  0  80   0 - 156538 poll_s ?       00:00:00 update-notifier
0 S  1000  1776  1168  0  80   0 - 147898 poll_s ?       00:00:00 deja-dup-monito
4 S     0  2349     1  0  80   0 - 25396 -      ?        00:00:00 cupsd
4 S     0  2351     1  0  80   0 - 68704 -      ?        00:00:00 cups-browsed
4 S     7  2356  2349  0  80   0 - 20311 -      ?        00:00:00 dbus
0 S  1000  2445   939  0  80   0 - 159815 poll_s ?       00:00:05 gnome-terminal-
0 S  1000  2450  2445  0  80   0 -  7712 wait   pts/18   00:00:00 bash
0 S  1000  2779   939  0  80   0 - 108841 poll_s ?       00:00:00 gvfsd-network
0 S  1000  2795   939  0  80   0 - 205134 poll_s ?       00:00:00 gvfsd-smb-brows
0 S  1000  2911   939  0  80   0 - 110997 poll_s ?       00:00:00 gvfsd-dnssd
1 I     0  2952     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:0
4 S     0  2975   706  0  80   0 -  4032 -      ?        00:00:00 dhclient
4 S  1000  3002   939  2  80   0 - 780208 poll_s ?       00:00:27 firefox
4 S  1000  3050  3002  2  80   0 - 757699 poll_s ?       00:00:31 Web Content
4 S  1000  3093  3002  0  80   0 - 656765 poll_s ?       00:00:01 WebExtensions
4 S  1000  3132  3002  0  80   0 - 642051 poll_s ?       00:00:00 Web Content
0 S  1000  3188   939  0  80   0 - 48629 poll_s ?        00:00:00 gvfsd-metadata
1 I     0  3235     2  0  80   0 -     0 -      ?        00:00:00 kworker/u2:0
1 I     0  3301     2  0  80   0 -     0 -      ?        00:00:00 kworker/u2:1
0 S  1000  3315  2445  0  80   0 -  7706 wait   pts/4    00:00:00 bash
0 S  1000  3353  3315  0  80   0 -  3948 pipe_w pts/4    00:00:00 cat
4 R  1000  3354  2450  0  80   0 -  9316 -      pts/18   00:00:00 ps
0 S  1000  3355  2450  0  80   0 -  3938 pipe_w pts/18   00:00:00 tee
